name	regex
TCP	\bTCP\b
Tensorflow	\bTensorflow\b
Terraform	\bTerraform\b
TestCafe	\bTestCafe\b
Thrift	\bThrift\b
Tomcat	\bTomcat\b
Turbopack	\bTurbopack\b
UDP	\bUDP\b
Unity	\bUnity\b
Unpoly	\bUnpoly\b
Unreal Engine	\bUnreal Engine\b
Vagrant	\bVagrant\b
VIM	\bVIM\b
Visual Studio	\bVisual Studio\b
VSCode	\bVSCode\b
Vue	\bVue(JS)?\b
Web Components	\b(Web Components|WebComponents)\b
Web3	\bWeb3\b
WebLogic	\bWebLogic\b
Webpack	\bWebpack\b
WebSocket	\bWebSocket\b
Weka	\b(Weka|WEKA)\b
WildFly	\bWildFly\b
WordPlate	\bWordPlate\b
WordPress	\bWordPress\b
Xamarin	\bXamarin\b
Xcode	\bXcode\b
Zigbee	\bZigbee\b
ZooKeeper	\b(ZooKeeper|Zookeeper)\b
